က,k
ချပ်ထူ,t͡ɕʰaʔtʰu
ချပ်ပြား,t͡ɕʰaʔpəja
ချပ်ဘီး,t͡ɕʰaʔbi
ချပ်မြောင်,t͡ɕʰaʔməjaʊɴ
ချပ်ရပ်,t͡ɕʰaʔjaʔ
ချပ်ဝတ်တန်ဆာ,t͡ɕʰaʔwaʔtaɴsʰa
ချမြေ,t͡ɕʰəməje
ချမှတ်,t͡ɕʰəm̥aʔ
ချမ်း,t͡ɕʰaɴ
ချမ်းငြိမ်း,t͡ɕʰaɴd͡ʑeɪɴ
ချမ်းစိမ့်စိမ့်,t͡ɕʰaɴseɪɴseɪɴ
ချမ်းတုန်,t͡ɕʰaɴtoʊɴ
ချမ်းမြေ့,t͡ɕʰaɴməje
ချမ်းမြေ့သော,t͡ɕʰaɴməjeθɔ
ချမ်းသာ,t͡ɕʰaɴθa
ချမ်းသာပေး,t͡ɕʰaɴθape
ချမ်းသာသော,t͡ɕʰaɴθaθɔ
ချမ်းသောင့်ချမ်းသာ,t͡ɕʰaɴθaʊɴt͡ɕʰaɴθa
ချမ်းအေး,t͡ɕʰaɴʔe
ချမ်းအေးသော,t͡ɕʰaɴʔeθɔ
ချမ်းဧ,t͡ɕʰaɴʔe
ချယ်,t͡ɕʰɛ
ချယ်ဂါရီ,t͡ɕʰɛɡəါji
ချယ်ရီ,t͡ɕʰɛji
ချယ်ရီပန်း,t͡ɕʰɛjipaɴ
ချရား,t͡ɕʰəja
ချရားပင်,t͡ɕʰəjapɪɴ
ချရားပွင့်ဆံထုံး,t͡ɕʰəjapəwɪɴsʰaɴtʰoʊɴ
ချရားသီး,t͡ɕʰəjaθi
ချရိုး,t͡ɕʰəjo
ချလန်,t͡ɕʰəlaɴ
ချသ်တောက်မွေးစုတ်,t͡ɕʰəθɛʔtɔkɛʔməwesoʊʔ
ချာ,t͡ɕʰa
ချား,t͡ɕʰa
ချားခုံ,t͡ɕʰakʰoʊɴ
ချားပုတ်,t͡ɕʰapoʊʔ
ချားရား,t͡ɕʰaja
ချာခနဲလှည့်သည်,t͡ɕʰakʰənɛɬiθi
ချာချာ,t͡ɕʰat͡ɕʰa
ချာတိတ်,t͡ɕʰateɪʔ
ချာတူးလံ,t͡ɕʰatulaɴ
ချာတူးလံသော,t͡ɕʰatulaɴθɔ
ချာရစ်,t͡ɕʰajɪʔ
ချာလည်,t͡ɕʰali
ချာလပတ်လည်,t͡ɕʰaləpaʔli
ချာသော,t͡ɕʰaθɔ
ချိ,t͡ɕʰi
ချိဆံ့,t͡ɕʰisʰaɴ
ချိတ်,t͡ɕʰeɪʔ
ချိတ်ကုန်တိုက်ကုန်,t͡ɕʰeɪʔkoʊɴtokɛʔkoʊɴ
ချိတ်ဆက်,t͡ɕʰeɪʔsʰəkɛʔ
ချိတ်ဆွဲ,t͡ɕʰeɪʔsʰəwɛ
ချိတ်ဆွဲသည်,t͡ɕʰeɪʔsʰəwɛθi
ချိတ်တိတ်တိတ်ပြော,t͡ɕʰeɪʔteɪʔteɪʔpəjɔ
ချိတ်ဖြုတ်,t͡ɕʰeɪʔpʰəjoʊʔ
ချိန်,t͡ɕʰeɪɴ
ချိန်း,t͡ɕʰeɪɴ
ချိန်းကြိုး,t͡ɕʰeɪɴt͡ɕo
ချိန်းချက်,t͡ɕʰeɪɴt͡ɕʰəkɛʔ
ချိန်းဝိုင်း,t͡ɕʰeɪɴwaɪɴ
ချိန်ကြိုး,t͡ɕʰeɪɴt͡ɕo
ချိန်ကိုက်ဗုံး,t͡ɕʰeɪɴkokɛʔboʊɴ
ချိန်ကိုက်သည်,t͡ɕʰeɪɴkokɛʔθi
ချိန်ချ,t͡ɕʰeɪɴt͡ɕʰ
ချိန်ခွင်,t͡ɕʰeɪɴkʰəwɪɴ
ချိန်ခွင်ခွက်,t͡ɕʰeɪɴkʰəwɪɴkʰəwkɛʔ
ချိန်ခွင်ပေါင်,t͡ɕʰeɪɴkʰəwɪɴpeါɪɴ
ချိန်ခွင်ပေါင်း,t͡ɕʰeɪɴkʰəwɪɴpeါɪɴ
ချိန်ခွင်လျှာ,t͡ɕʰeɪɴkʰəwɪɴləjှa
ချိန်ခွင်လျှာကျနေ,t͡ɕʰeɪɴkʰəwɪɴləjှat͡ɕəne
ချိန်စက်,t͡ɕʰeɪɴsəkɛʔ
ချိန်ဆ,t͡ɕʰeɪɴsʰ
ချိန်ဆသည်,t͡ɕʰeɪɴsʰəθi
ချိန်တန်ဆာ,t͡ɕʰeɪɴtaɴsʰa
ချိန်တွယ်,t͡ɕʰeɪɴtəwɛ
ချိန်ထုပ်,t͡ɕʰeɪɴtʰoʊʔ
ချိန်ဝန်,t͡ɕʰeɪɴwaɴ
ချိန်သည်,t͡ɕʰeɪɴθi
ချိန်သား,t͡ɕʰeɪɴθa
ချိန်သီး,t͡ɕʰeɪɴθi
ချိပ်,t͡ɕʰeɪʔ
ချိပ်ချိပ်,t͡ɕʰeɪʔt͡ɕʰeɪʔ
ချိပ်တံဆိပ်,t͡ɕʰeɪʔtaɴsʰeɪʔ
ချိပ်တောင့်,t͡ɕʰeɪʔtaʊɴ
ချိပ်ပန်းဆိုး,t͡ɕʰeɪʔpaɴsʰo
ချိပ်ပိတ်စာအိတ်,t͡ɕʰeɪʔpeɪʔsaʔeɪʔ
ချိပ်ပိတ်သည်,t͡ɕʰeɪʔpeɪʔθi
ချိပ်ပိုး,t͡ɕʰeɪʔpo
ချိပ်ရောင်,t͡ɕʰeɪʔjaʊɴ
ချိပ်သင်ဖြူးပင်,t͡ɕʰeɪʔθɪɴpʰəjupɪɴ
ချိပ်သတ်ပင်,t͡ɕʰeɪʔθaʔpɪɴ
ချိမ့်,t͡ɕʰeɪɴ
ချိမ့်မည်,t͡ɕʰeɪɴmi
ချို,t͡ɕʰo
ချို့,t͡ɕʰo
ချို့ချို့,t͡ɕʰot͡ɕʰo
ချို့ချို့ရှိ,t͡ɕʰot͡ɕʰoʃi
ချို့ငဲ့,t͡ɕʰoŋɛ
ချို့တဲ့,t͡ɕʰotɛ
ချို့တဲ့သည်,t͡ɕʰotɛθi
ချို့ယွင်း,t͡ɕʰojəwɪɴ
ချို့ယွင်းသည်,t͡ɕʰojəwɪɴθi
ချိုး,t͡ɕʰo
ချိုးကပ်,t͡ɕʰokaʔ
ချိုးကပ်သည်,t͡ɕʰokaʔθi
ချိုးကူ,t͡ɕʰoku
ချိုးကူသည်,t͡ɕʰokuθi
ချိုးခြေရာမြက်,t͡ɕʰot͡ɕʰejaməjkɛʔ
ချိုးစာကောက်မြက်,t͡ɕʰosakɔkɛʔməjkɛʔ
ချိုးစိမ်း,t͡ɕʰoseɪɴ
ချိုးညို,t͡ɕʰoɲo
ချိုးနှိမ်,t͡ɕʰon̥eɪɴ
ချိုးနာရီ,t͡ɕʰonaji
ချိုးနီပု,t͡ɕʰonipu
ချိုးပိန်တူးငှက်,t͡ɕʰopeɪɴtuŋ̥əkɛʔ
ချိုးပိန်တူးမ,t͡ɕʰopeɪɴtum
ချိုးဖျက်,t͡ɕʰopʰəjkɛʔ
ချိုးဖဲ့,t͡ɕʰopʰɛ
ချိုးဖဲ့ဖျက်ဆီး,t͡ɕʰopʰɛpʰəjkɛʔsʰi
ချိုးမှုတ်,t͡ɕʰom̥oʊʔ
ချိုးရေ,t͡ɕʰoje
ချိုးရေသုံးရေ,t͡ɕʰojeθoʊɴje
ချိုးလင်းပြာ,t͡ɕʰolɪɴpəja
ချိုးလည်ပြောက်,t͡ɕʰolipəjɔkɛʔ
ချိုးသည်,t͡ɕʰoθi
ချိုးသိမ်း,t͡ɕʰoθeɪɴ
ချိုးသိမ်းငှက်,t͡ɕʰoθeɪɴŋ̥əkɛʔ
ချိုးအုံ,t͡ɕʰoʔoʊɴ
ချိုကျိုးနားရွက်ပဲ့,t͡ɕʰot͡ɕonajəwkɛʔpɛ
ချိုကြွ,t͡ɕʰot͡ɕəw
ချိုကုပ်,t͡ɕʰokoʊʔ
ချိုက်,t͡ɕʰokɛʔ
ချိုချဉ်,t͡ɕʰot͡ɕʰɪɴ
ချိုချဉ်ကြော်,t͡ɕʰot͡ɕʰɪɴt͡ɕaʊʔ
ချိုင့်,t͡ɕʰaɪɴ
ချိုင့်ခွက်,t͡ɕʰaɪɴkʰəwkɛʔ
ချိုင့်ဝှမ်း,t͡ɕʰaɪɴʍaɴ
ချိုင်,t͡ɕʰaɪɴ
ချိုင်း,t͡ɕʰaɪɴ
ချိုင်းကြား,t͡ɕʰaɪɴt͡ɕa
ချိုင်းကလိ,t͡ɕʰaɪɴkəli
ချိုင်းတွင်း,t͡ɕʰaɪɴtəwɪɴ
ချိုင်းထောက်,t͡ɕʰaɪɴtʰɔkɛʔ
ချိုင်းထောက်ခွ,t͡ɕʰaɪɴtʰɔkɛʔkʰəw
ချိုင်းမွေး,t͡ɕʰaɪɴməwe
ချိုင်ချ,t͡ɕʰaɪɴt͡ɕʰ
ချိုစောင်း,t͡ɕʰosaʊɴ
ချိုဆိမ့်,t͡ɕʰosʰeɪɴ
ချိုတည်လူး,t͡ɕʰotilu
ချိုထား,t͡ɕʰotʰa
ချိုပက်ကား,t͡ɕʰopəkɛʔka
ချိုပျံ့,t͡ɕʰopəjaɴ
ချိုပျပျ,t͡ɕʰopəjpəj
ချိုပြုံး,t͡ɕʰopəjoʊɴ
ချိုပေါက်သော,t͡ɕʰopeါkɛʔθɔ
ချိုမြ,t͡ɕʰoməj
ချိုမြက်,t͡ɕʰoməjkɛʔ
ချိုမြတ်,t͡ɕʰoməjaʔ
ချိုမြမြ,t͡ɕʰoməjməj
ချိုမြိန်,t͡ɕʰoməjeɪɴ
ချိုရဲရဲ,t͡ɕʰojɛjɛ
ချိုသာ,t͡ɕʰoθa
ချိုသာသော,t͡ɕʰoθaθɔ
ချိုသော,t͡ɕʰoθɔ
ချိုသွန်း,t͡ɕʰoθʊɴ
ချိုအေး,t͡ɕʰoʔe
ချိုဧ,t͡ɕʰoʔe
ချီ,t͡ɕʰi
ချီး,t͡ɕʰi
ချီးကျူး,t͡ɕʰit͡ɕu
ချီးကျူးလွှာ,t͡ɕʰit͡ɕuləwှa
ချီးကျူးသည်,t͡ɕʰit͡ɕuθi
ချီးပင့်,t͡ɕʰipɪɴ
ချီးမြှင့်,t͡ɕʰiməjှɪɴ
ချီးမြှင့်သည်,t͡ɕʰiməjှɪɴθi
ချီးမြှောက်,t͡ɕʰiməjှɔkɛʔ
ချီးမြှောက်ခန့်ထား,t͡ɕʰiməjှɔkɛʔkʰaɴtʰa
ချီးမြှောက်သည်,t͡ɕʰiməjှɔkɛʔθi
ချီးမြောက်,t͡ɕʰiməjɔkɛʔ
ချီးမွမ်း,t͡ɕʰimʊɴ
ချီးအံ့,t͡ɕʰiʔaɴ
ချီကျူး,t͡ɕʰit͡ɕu
ချီကြွ,t͡ɕʰit͡ɕəw
ချီကိုရီပင်,t͡ɕʰikojipɪɴ
ချီကောက်ပေး,t͡ɕʰikɔkɛʔpe
ချီငေါ်,t͡ɕʰiŋeါɛʔ
ချီတက်သည်,t͡ɕʰitəkɛʔθi
ချီတုံချတုံ,t͡ɕʰitoʊɴt͡ɕʰətoʊɴ
ချီတုံချတုံဖြစ်သည်,t͡ɕʰitoʊɴt͡ɕʰətoʊɴpʰəjɪʔθi
ချီထိန်း,t͡ɕʰitʰeɪɴ
ချီပင့်,t͡ɕʰipɪɴ
ချီပစ်,t͡ɕʰipɪʔ
ချီပိုး,t͡ɕʰipo
ချီမ,t͡ɕʰim
ချီသည်,t͡ɕʰiθi
ချုံ,t͡ɕʰoʊɴ
ချုံ့,t͡ɕʰoʊɴ
ချုံ့ချဉ်း,t͡ɕʰoʊɴt͡ɕʰɪɴ
ချုံ့ယုံ့,t͡ɕʰoʊɴjoʊɴ
ချုံ့သည်,t͡ɕʰoʊɴθi
ချုံး,t͡ɕʰoʊɴ
ချုံးကျ,t͡ɕʰoʊɴt͡ɕ
ချုံးချုံးကျချောင်း,t͡ɕʰoʊɴt͡ɕʰoʊɴt͡ɕət͡ɕʰaʊɴ
ချုံးပွဲချငို,t͡ɕʰoʊɴpəwɛt͡ɕʰəŋo
ချုံခိုတိုက်သည်,t͡ɕʰoʊɴkʰotokɛʔθi
ချုံစေးပျစ်,t͡ɕʰoʊɴsepəjɪʔ
ချုံတိုးဗျိုင်း,t͡ɕʰoʊɴtobəjaɪɴ
ချုံပိတ်ပေါင်,t͡ɕʰoʊɴpeɪʔpeါɪɴ
ချုံပိတ်ပေါင်း,t͡ɕʰoʊɴpeɪʔpeါɪɴ
ချုံပုတ်,t͡ɕʰoʊɴpoʊʔ
ချုံပုတ်ပေါင်း,t͡ɕʰoʊɴpoʊʔpeါɪɴ
ချုံဖုတ်,t͡ɕʰoʊɴpʰoʊʔ
ချုံဗျိုင်း,t͡ɕʰoʊɴbəjaɪɴ
ချုတ်,t͡ɕʰoʊʔ
ချုတ်ချစ်,t͡ɕʰoʊʔt͡ɕʰɪʔ
ချုတ်ချုတ်မြည်,t͡ɕʰoʊʔt͡ɕʰoʊʔməji
ချုန်း,t͡ɕʰoʊɴ
ချုန်းချုန်း,t͡ɕʰoʊɴt͡ɕʰoʊɴ
ချုန်းစိတ်ချ,t͡ɕʰoʊɴseɪʔt͡ɕʰ
ချုပ်,t͡ɕʰoʊʔ
ချုပ်ကိုင်,t͡ɕʰoʊʔkaɪɴ
ချုပ်ကိုင်သည်,t͡ɕʰoʊʔkaɪɴθi
ချုပ်ချယ်,t͡ɕʰoʊʔt͡ɕʰɛ
ချုပ်ချယ်သော,t͡ɕʰoʊʔt͡ɕʰɛθɔ
ချုပ်ချုပ်,t͡ɕʰoʊʔt͡ɕʰoʊʔ
ချုပ်ခြာ,t͡ɕʰoʊʔt͡ɕʰa
ချုပ်ခုံ,t͡ɕʰoʊʔkʰoʊɴ
ချုပ်ငြိမ်း,t͡ɕʰoʊʔd͡ʑeɪɴ
ချုပ်ငြိမ်းသည်,t͡ɕʰoʊʔd͡ʑeɪɴθi
ချုပ်စက်,t͡ɕʰoʊʔsəkɛʔ
ချုပ်စပ်,t͡ɕʰoʊʔsaʔ
ချုပ်စာ,t͡ɕʰoʊʔsa
ချုပ်ဆေး,t͡ɕʰoʊʔsʰe
ချုပ်တည်း,t͡ɕʰoʊʔti
ချုပ်တည်းသည်,t͡ɕʰoʊʔtiθi
ချုပ်ထား,t͡ɕʰoʊʔtʰa
ချုပ်ထိန်း,t͡ɕʰoʊʔtʰeɪɴ
ချုပ်နှောင်သည်,t͡ɕʰoʊʔn̥aʊɴθi
ချုပ်ပျောက်,t͡ɕʰoʊʔpəjɔkɛʔ
ချုပ်ရက်,t͡ɕʰoʊʔjəkɛʔ
ချုပ်ရိုး,t͡ɕʰoʊʔjo
ချုပ်ရိုးကြောင်း,t͡ɕʰoʊʔjot͡ɕaʊɴ
ချုပ်သည်,t͡ɕʰoʊʔθi
ချုပ်သမား,t͡ɕʰoʊʔθəma
ချူ,t͡ɕʰu
ချူး,t͡ɕʰu
ချူကုံး,t͡ɕʰukoʊɴ
ချူချာ,t͡ɕʰut͡ɕʰa
ချူချာသည်,t͡ɕʰut͡ɕʰaθi
ချူပုံး,t͡ɕʰupoʊɴ
ချူလုံး,t͡ɕʰuloʊɴ
ချူသံပါအောင်ညည်း,t͡ɕʰuθaɴpəါʔaʊɴɲi
ချေ,t͡ɕʰe
ချေး,t͡ɕʰe
ချေးကုန်း,t͡ɕʰekoʊɴ
ချေးခါး,t͡ɕʰekʰəါး
ချေးငှား,t͡ɕʰeŋ̥a
ချေးငွေ,t͡ɕʰeŋəwe
ချေးတိုးပိုး,t͡ɕʰetopo
ချေးတုတ်ခနောင်း,t͡ɕʰetoʊʔkʰənaʊɴ
ချေးတွန်း,t͡ɕʰetʊɴ
ချေးထို,t͡ɕʰetʰo
ချေးထိုချေးထာ,t͡ɕʰetʰot͡ɕʰetʰa
ချေးပင်ကလောပင်,t͡ɕʰepɪɴkəlɔpɪɴ
ချေးပါသည်,t͡ɕʰepəါθi
ချေးပိုးထိုးကောင်,t͡ɕʰepotʰokaʊɴ
ချေးယိုအိမ်,t͡ɕʰejoʔeɪɴ
ချေးသစ်,t͡ɕʰeθɪʔ
ချေးသည်,t͡ɕʰeθi
ချေးသီး,t͡ɕʰeθi
ချေချွတ်,t͡ɕʰet͡ɕʰʊʔ
ချေချွတ်သည်,t͡ɕʰet͡ɕʰʊʔθi
ချေငံ,t͡ɕʰeŋaɴ
ချေငံသည်,t͡ɕʰeŋaɴθi
ချေဆတ်,t͡ɕʰesʰaʔ
ချေဆို,t͡ɕʰesʰo
ချေဆိုချက်,t͡ɕʰesʰot͡ɕʰəkɛʔ
ချေပ,t͡ɕʰep
ချေဖျက်,t͡ɕʰepʰəjkɛʔ
ချေဖျက်သည်,t͡ɕʰepʰəjkɛʔθi
ချေမှုန်း,t͡ɕʰem̥oʊɴ
ချေလည်,t͡ɕʰeli
ချေလွှာ,t͡ɕʰeləwှa
ချေလွှား,t͡ɕʰeləwှa
ချေသငယ်,t͡ɕʰeθəŋɛ
ချော,t͡ɕʰɔ
ချော့,t͡ɕʰɔ
ချော့ကလက်,t͡ɕʰɔkələkɛʔ
ချော့မြှူ,t͡ɕʰɔməjှu
ချော့မြူသည်,t͡ɕʰɔməjuθi
ချော့မော့,t͡ɕʰɔmɔ
ချော့မော့သည်,t͡ɕʰɔmɔθi
ချော့သည်,t͡ɕʰɔθi
ချောကျိ,t͡ɕʰɔt͡ɕi
ချောကျိကျိ,t͡ɕʰɔt͡ɕit͡ɕi
ချောကလက်,t͡ɕʰɔkələkɛʔ
ချောက်,t͡ɕʰɔkɛʔ
ချောက်ကမ်းပါး,t͡ɕʰɔkɛʔkaɴpəါး
ချောက်ချ,t͡ɕʰɔkɛʔt͡ɕʰ
ချောက်ချက်,t͡ɕʰɔkɛʔt͡ɕʰəkɛʔ
ချောက်ချား,t͡ɕʰɔkɛʔt͡ɕʰa
ချောက်ချားသည်,t͡ɕʰɔkɛʔt͡ɕʰaθi
ချောက်ချီးချောက်ချက်,t͡ɕʰɔkɛʔt͡ɕʰit͡ɕʰɔkɛʔt͡ɕʰəkɛʔ
ချောက်တွန်း,t͡ɕʰɔkɛʔtʊɴ
ချောက်ပေါက်,t͡ɕʰɔkɛʔpeါkɛʔ
ချောချောမောမော,t͡ɕʰɔt͡ɕʰɔmɔmɔ
ချောင်,t͡ɕʰaʊɴ
ချောင်း,t͡ɕʰaʊɴ
ချောင်းကတ်,t͡ɕʰaʊɴkaʔ
ချောင်းကျရေ,t͡ɕʰaʊɴt͡ɕəje
ချောင်းကြည့်,t͡ɕʰaʊɴt͡ɕi
ချောင်းကြည့်သည်,t͡ɕʰaʊɴt͡ɕiθi
ချောင်းကြားပင်,t͡ɕʰaʊɴt͡ɕapɪɴ
ချောင်းကြိုမြောင်းကြား,t͡ɕʰaʊɴt͡ɕoməjaʊɴt͡ɕa
ချောင်းချောင်း,t͡ɕʰaʊɴt͡ɕʰaʊɴ
ချောင်းခြောက်,t͡ɕʰaʊɴt͡ɕʰɔkɛʔ
ချောင်းခြောက်ဆိုး,t͡ɕʰaʊɴt͡ɕʰɔkɛʔsʰo
ချောင်းစလုတ်,t͡ɕʰaʊɴsəloʊʔ
ချောင်းစလုပ်,t͡ɕʰaʊɴsəloʊʔ
ချောင်းဆိုး,t͡ɕʰaʊɴsʰo
ချောင်းဆိုးရောဂါ,t͡ɕʰaʊɴsʰojɔɡəါ
ချောင်းတဟွပ်ဟွပ်,t͡ɕʰaʊɴtəhʊʔhʊʔ
ချောင်းနပန်း,t͡ɕʰaʊɴnəpaɴ
ချောင်းပစ်သည်,t͡ɕʰaʊɴpɪʔθi
ချောင်းပန်းဆိုး,t͡ɕʰaʊɴpaɴsʰo
ချောင်းပန်းဟန့်,t͡ɕʰaʊɴpaɴhaɴ
ချောင်းမြောင်း,t͡ɕʰaʊɴməjaʊɴ
ချောင်းရိုးမြောင်းရိုး,t͡ɕʰaʊɴjoməjaʊɴjo
ချောင်းရိုက်သည်,t͡ɕʰaʊɴjokɛʔθi
ချောင်းသံပြု,t͡ɕʰaʊɴθaɴpəju
ချောင်းဟက်,t͡ɕʰaʊɴhəkɛʔ
ချောင်းဟန့်,t͡ɕʰaʊɴhaɴ
ချောင်းဟန့်သည်,t͡ɕʰaʊɴhaɴθi
ချောင်းဦးတို,t͡ɕʰaʊɴʔuးto
ချောင်ကျ,t͡ɕʰaʊɴt͡ɕ
ချောင်ကြိုချောင်ကြား,t͡ɕʰaʊɴt͡ɕot͡ɕʰaʊɴt͡ɕa
ချောင်ကုပ်နေ,t͡ɕʰaʊɴkoʊʔne
ချောင်ချိ,t͡ɕʰaʊɴt͡ɕʰi
ချောင်ခိုသည်,t͡ɕʰaʊɴkʰoθi
ချောင်ထိုးသည်,t͡ɕʰaʊɴtʰoθi
ချောင်လည်,t͡ɕʰaʊɴli
ချောင်လည်သော,t͡ɕʰaʊɴliθɔ
ချောင်သော,t͡ɕʰaʊɴθɔ
ချောစာ,t͡ɕʰɔsa
ချောစား,t͡ɕʰɔsa
ချောဆီ,t͡ɕʰɔsʰi
ချောဆွဲ,t͡ɕʰɔsʰəwɛ
ချောဆွဲသည်,t͡ɕʰɔsʰəwɛθi
ချောညက်,t͡ɕʰɔɲəkɛʔ
ချောထုပ်,t͡ɕʰɔtʰoʊʔ
ချောထောက်,t͡ɕʰɔtʰɔkɛʔ
ချောပစ်,t͡ɕʰɔpɪʔ
ချောပို့,t͡ɕʰɔpo
ချောပို့ပြာတာ,t͡ɕʰɔpopəjata
ချောပို့မြင်း,t͡ɕʰɔpoməjɪɴ
ချောပို့ရထား,t͡ɕʰɔpojətʰa
ချောပို့လှေ,t͡ɕʰɔpoɬe
ချောပို့သည်,t͡ɕʰɔpoθi
ချောမြေ့,t͡ɕʰɔməje
ချောမော,t͡ɕʰɔmɔ
ချောမောသော,t͡ɕʰɔmɔθɔ
ချောမွတ်,t͡ɕʰɔmʊʔ
ချောမွန်,t͡ɕʰɔmʊɴ
ချောမွှတ်,t͡ɕʰɔməwှaʔ
ချောမွေ့,t͡ɕʰɔməwe
ချောလွင်,t͡ɕʰɔləwɪɴ
ချောသော,t͡ɕʰɔθɔ
ချော်,t͡ɕʰaʊʔ
ချော်ချွတ်,t͡ɕʰaʊʔt͡ɕʰʊʔ
ချော်တိုက်,t͡ɕʰaʊʔtokɛʔ
ချော်တော်တော်,t͡ɕʰaʊʔtaʊʔtaʊʔ
ချော်မြှုပ်,t͡ɕʰaʊʔməjှoʊʔ
ချော်ရည်,t͡ɕʰaʊʔji
ချော်လဲ,t͡ɕʰaʊʔlɛ
ချော်လဲသည်,t͡ɕʰaʊʔlɛθi
ချော်သည်,t͡ɕʰaʊʔθi
ချဲ,t͡ɕʰɛ
ချဲ့,t͡ɕʰɛ
ချဲ့ကားပြောသည်,t͡ɕʰɛkapəjɔθi
ချဲ့ချဲ့,t͡ɕʰɛt͡ɕʰɛ
ချဲ့ချဲ့တုန်,t͡ɕʰɛt͡ɕʰɛtoʊɴ
ချဲ့ထွင်,t͡ɕʰɛtʰəwɪɴ
ချဲ့ထွင်သည်,t͡ɕʰɛtʰəwɪɴθi
ချဲ့သည်,t͡ɕʰɛθi
ချဲထီ,t͡ɕʰɛtʰi
ချဲသည်,t͡ɕʰɛθi
ချွံ,t͡ɕʰəwaɴ
ချွံချွံ,t͡ɕʰəwaɴt͡ɕʰəwaɴ
ချွံချွံပြေး,t͡ɕʰəwaɴt͡ɕʰəwaɴpəje
ချွံချွံရက်ရက်,t͡ɕʰəwaɴt͡ɕʰəwaɴjəkɛʔjəkɛʔ
ချွင်,t͡ɕʰəwɪɴ
ချွင်ချွင်,t͡ɕʰəwɪɴt͡ɕʰəwɪɴ
ချွတ်,t͡ɕʰʊʔ
ချွတ်ခနဲ,t͡ɕʰʊʔkʰənɛ
ချွတ်ချော်,t͡ɕʰʊʔt͡ɕʰaʊʔ
ချွတ်ချွတ်,t͡ɕʰʊʔt͡ɕʰʊʔ
ချွတ်ခြုံကျ,t͡ɕʰʊʔt͡ɕʰoʊɴt͡ɕ
ချွတ်စွပ်တူ,t͡ɕʰʊʔsʊʔtu
ချွတ်နင်း,t͡ɕʰʊʔnɪɴ
ချွတ်ပယ်,t͡ɕʰʊʔpɛ
ချွတ်ယွင်း,t͡ɕʰʊʔjəwɪɴ
ချွတ်ယွင်းချက်,t͡ɕʰʊʔjəwɪɴt͡ɕʰəkɛʔ
ချွတ်လား,t͡ɕʰʊʔla
ချွတ်လွှဲ,t͡ɕʰʊʔləwှɛ
ချွတ်လွဲ,t͡ɕʰʊʔləwɛ
ချွန်,t͡ɕʰʊɴ
ချွန်း,t͡ɕʰʊɴ
ချွန်းချက်,t͡ɕʰʊɴt͡ɕʰəkɛʔ
ချွန်းချိတ်,t͡ɕʰʊɴt͡ɕʰeɪʔ
ချွန်းဆက်,t͡ɕʰʊɴsʰəkɛʔ
ချွန်းတောင်း,t͡ɕʰʊɴtaʊɴ
ချွန်းတောင်းလက်နက်,t͡ɕʰʊɴtaʊɴləkɛʔnəkɛʔ
ချွန်းသတ်,t͡ɕʰʊɴθaʔ
ချွန်းအုပ်,t͡ɕʰʊɴʔoʊʔ
ချွန်စက်,t͡ɕʰʊɴsəkɛʔ
ချွန်သည်,t͡ɕʰʊɴθi
ချွေ,t͡ɕʰəwe
ချွေး,t͡ɕʰəwe
ချွေးကန်,t͡ɕʰəwekaɴ
ချွေးခံ,t͡ɕʰəwekʰaɴ
ချွေးခံအင်္ကျီ,t͡ɕʰəwekʰaɴʔɪɴ္t͡ɕi
ချွေးငုပ်,t͡ɕʰəweŋoʊʔ
ချွေးစို့,t͡ɕʰəweso
ချွေးစို့သည်,t͡ɕʰəwesoθi
ချွေးစေး,t͡ɕʰəwese
ချွေးတပြိုက်ပြိုက်,t͡ɕʰəwetəpəjokɛʔpəjokɛʔ
ချွေးတပ်,t͡ɕʰəwetaʔ
ချွေးတိတ်,t͡ɕʰəweteɪʔ
ချွေးထုတ်,t͡ɕʰəwetʰoʊʔ
ချွေးထုတ်ဆေး,t͡ɕʰəwetʰoʊʔsʰe
ချွေးထွက်,t͡ɕʰəwetʰəwkɛʔ
ချွေးဒီးဒီးကျ,t͡ɕʰəwedidit͡ɕ
ချွေးနှဲစာ,t͡ɕʰəwen̥ɛsa
ချွေးပြန်,t͡ɕʰəwepəjaɴ
ချွေးပုပ်,t͡ɕʰəwepoʊʔ
ချွေးပေါက်,t͡ɕʰəwepeါkɛʔ
ချွေးမ,t͡ɕʰəwem
ချွေးဝင်,t͡ɕʰəwewɪɴ
ချွေးသံ,t͡ɕʰəweθaɴ
ချွေးသိပ်,t͡ɕʰəweθeɪʔ
ချွေးသီး,t͡ɕʰəweθi
ချွေးအောင်း,t͡ɕʰəweʔaʊɴ
ချွေတာ,t͡ɕʰəweta
ချွေတာရေး,t͡ɕʰəwetaje
ချွေတာသည်,t͡ɕʰəwetaθi
ချွေရွေ,t͡ɕʰəwejəwe
ချွေသည်,t͡ɕʰəweθi
ချွဲ,t͡ɕʰəwɛ
ချွဲကျပ်,t͡ɕʰəwɛt͡ɕaʔ
ချွဲကျပ်သည်,t͡ɕʰəwɛt͡ɕaʔθi
ချွဲကျိကျိ,t͡ɕʰəwɛt͡ɕit͡ɕi
ချွဲခန်း,t͡ɕʰəwɛkʰaɴ
ချွဲခန်းသလိပ်,t͡ɕʰəwɛkʰaɴθəleɪʔ
ချွဲနစ်,t͡ɕʰəwɛnɪʔ
ချွဲပျစ်,t͡ɕʰəwɛpəjɪʔ
ချွဲသည်,t͡ɕʰəwɛθi
ချွဲသော,t͡ɕʰəwɛθɔ
ချွဲဟက်,t͡ɕʰəwɛhəkɛʔ
