က,k
ကင်းလိပ်ချော,kɪɴleɪʔt͡ɕʰɔ
ကင်းလုလင်,kɪɴlulɪɴ
ကင်းလွတ်,kɪɴlʊʔ
ကင်းလွတ်ကုန်,kɪɴlʊʔkoʊɴ
ကင်းလွတ်ခွင့်,kɪɴlʊʔkʰəwɪɴ
ကင်းလွတ်သည်,kɪɴlʊʔθi
ကင်းဝန်,kɪɴwaɴ
ကင်းဝန်းကင်းပတ်လှည့်,kɪɴwaɴkɪɴpaʔɬi
ကင်းဝပ်,kɪɴwaʔ
ကင်းသင်း,kɪɴθɪɴ
ကင်းသန်း,kɪɴθaɴ
ကင်းသား,kɪɴθa
ကင်းအုပ်,kɪɴʔoʊʔ
ကင်ဆာ,kɪɴsʰa
ကင်ညှပ်,kɪɴɲ̥aʔ
ကင်ပျစ်,kɪɴpəjɪʔ
ကင်ပလင်းပင်,kɪɴpəlɪɴpɪɴ
ကင်ပလစ်,kɪɴpəlɪʔ
ကင်ပိမ့်နွယ်ပင်,kɪɴpeɪɴnəwɛpɪɴ
ကင်ပေတိုင်,kɪɴpetaɪɴ
ကင်ပွန်း,kɪɴpʊɴ
ကင်ပွန်းတပ်,kɪɴpʊɴtaʔ
ကင်ပွန်းပင်,kɪɴpʊɴpɪɴ
ကင်မရာ,kɪɴməja
ကင်သည်,kɪɴθi
ကင်္ကာ,kɪɴ္ka
ကစစ်,kəsɪʔ
ကစဉ့်ကရဲ,kəsɪɴkəjɛ
ကစဉ့်ကလျား,kəsɪɴkələja
ကစား,kəsa
ကစားကွက်,kəsakəwkɛʔ
ကစားကွင်း,kəsakəwɪɴ
ကစားခုန်စား,kəsakʰoʊɴsa
ကစားစရာ,kəsasəja
ကစားစရာဆိုင်,kəsasəjasʰaɪɴ
ကစားဒိုင်,kəsadaɪɴ
ကစားဖော်,kəsapʰaʊʔ
ကစားဝိုင်း,kəsawaɪɴ
ကစားသည်,kəsaθi
ကစားသမား,kəsaθəma
ကစားသူ,kəsaθu
ကစိန်းကဝါး,kəseɪɴkəwəါး
ကစီ,kəsi
ကစီကရင်,kəsikəjɪɴ
ကစီတင်,kəsitɪɴ
ကစီဓာတ်,kəsidaaʔ
ကစီရည်,kəsiji
ကစု,kəsu
ကစော့ခါး,kəsɔkʰəါး
ကစော့ပင်,kəsɔpɪɴ
ကစော်,kəsaʊʔ
ကစော်ဖတ်,kəsaʊʔpʰaʔ
ကစော်ရည်,kəsaʊʔji
ကစဲကရဲ,kəsɛkəjɛ
ကစ္စည်းပင်,kəsə္sipɪɴ
ကစ္စည်းသဒ္ဒါကျမ်း,kəsə္siθədə္dəါt͡ɕaɴ
ကစ်,kɪʔ
ကစွန်း,kəsʊɴ
ကစွန်းဥ,kəsʊɴʔu
ကစွဲကစောင်း,kəsəwɛkəsaʊɴ
ကဆုန်,kəsʰoʊɴ
ကဆုန်ပေါက်,kəsʰoʊɴpeါkɛʔ
ကဆုန်ပေါက်သည်,kəsʰoʊɴpeါkɛʔθi
